,Name,WebsiteNew,StatusCodeNew,Notes,CleanName
0,Adaora Beauty Supply,https://www.adaorabeautysj.com/,301,"SSL from wrong domain and ""our site is coming soon"" is shown",Adaora_Beauty_Supply
1,Ancient Stones Mineral Makeup,http://www.ancientstonesmineralmakeup.com/,200,,Ancient_Stones_Mineral_Makeup
2,Ashay by the Bay,https:/www.ashaybythebay.com/,-1,,Ashay_by_the_Bay
3,BackAYard,https://backayard.net/,200,,BackAYard
4,Bay Area Black Owned Restaurants,https://docs.google.com/spreadsheets/u/3/d/1mTthE5lwqVnTCIm3iQtQXLyxwK-pc17cuCp--BhAYX8/htmlview?pru=AAABcpDu9VU*2nVfXDPBpsYfG6C9-r2D0Q,200,,Bay_Area_Black_Owned_Restaurants
5,Black & Brown,https://shopblackandbrown.com/,200,,Black_and_Brown
6,Braid it Up,NONE,-2,,Braid_it_Up
7,Coconuts Caribbean Restaurant & Bar,https://www.coconutspaloalto.com/,200,,Coconuts_Caribbean_Restaurant_and_Bar
8,Crown Plumbing,https://www.crownplumbingsanjose.com/,200,,Crown_Plumbing
9,Dee Lee Cakes,https://www.deeleecakes.com/,200,,Dee_Lee_Cakes
10,El Camino Mongolian BBQ,NONE,-2,,El_Camino_Mongolian_BBQ
11,Exceed Martial Arts,https://www.exceedmartialarts.com/,200,,Exceed_Martial_Arts
12,Familia Foods Market,https://familia-foods-market.business.site/,200,,Familia_Foods_Market
13,Fenn Coffee,https://fenncoffee.com/,200,,Fenn_Coffee
14,Giants Barbershop,NONE,-2,,Giants_Barbershop
15,Gojo Ethiopian,https://www.gojoethiopianrestaurant.com/,200,,Gojo_Ethiopian
16,Hairport Boutique,hairportboutique.com,-1,,Hairport_Boutique
17,Hill's Training,https://www.facebook.com/Hillstraining1/,200,,Hills_Training
18,Inhale Exhale Bodywork,NONE,-2,,Inhale_Exhale_Bodywork
19,Jackie's Place,https://www.jackiesplacesj.com/,200,,Jackies_Place
20,Jon Jon's BBQ,https://www.facebook.com/JonJonsBBQ,200,,Jon_Jons_BBQ
21,Jonathan's Fish & Chips,NONE,-2,,Jonathans_Fish_and_Chips
22,Jubba Somali,https://www.yelp.com/biz/jubba-restaurant-san-jose,200,,Jubba_Somali
23,Kategna Ethiopian,https://www.kategna.com/,200,,Kategna_Ethiopian
24,Kia Fay The Curl Consultant,https://www.thecurlconsultant.com,200,,Kia_Fay_The_Curl_Consultant
25,Leyou Ethiopian,https://www.leyouethiopian.com/,200,,Leyou_Ethiopian
26,Lunch Box,https://www.yelp.com/biz/lunch-box-san-jose-2,200,,Lunch_Box
27,M&M Building Maintenance,https://www.yelp.com/biz/m-and-m-building-maintenance-sunnyvale-2,200,,MandM_Building_Maintenance
28,Mudai Restaurant,https://www.yelp.com/biz/mudai-ethiopian-restaurant-san-jose,200,need to reach out to see if there's a new webiste,Mudai_Restaurant
29,MUCHJOY Bakehouse,https://www.muchjoybakehouse.com/,200,,MUCHJOY_Bakehouse
30,Needle to the Groove,https://www.facebook.com/needletothegroovesanjose,200,,Needle_to_the_Groove
31,Neu2U Thrift Boutique,https://www.facebook.com/Neu2uThriftBoutique,200,,Neu2U_Thrift_Boutique
32,Nirvana Soul,https://www.nirvanasoulcoffee.com/,200,,Nirvana_Soul
33,Omnipotent Studios Yoga,http://www.omnipotentstudios.com/,-1,need to reach out to see if there's a new webiste,Omnipotent_Studios_Yoga
34,Plantlush,https://www.plantlush.com/,200,,Plantlush
35,Raoof's Bean Pies,https://raoofsbeanpie.co/,200,,Raoofs_Bean_Pies
36,ReggaePot Jamaican Restaurant ,https://reggaepot.com/,200,server busy?,ReggaePot_Jamaican_Restaurant_
37,Sandi?s Catering,https://sandiscatering.com/,200,,Sandis_Catering
38,"Selam 
Ethiopian",https://www.yelp.com/biz/selam-restaurant-and-cafe-san-jose,200,,Selam_Ethiopian
39,Tank Shit!,https://www.tankshit.com/,200,,Tank_Shit
40,The Barbers Inc,NONE,-2,,The_Barbers_Inc
41,The Dance of Peace,http://www.thedanceofpeace.org/,200,,The_Dance_of_Peace
42,Top Shelf Barbers,NONE,-2,,Top_Shelf_Barbers
43,TriHealing,https://trihealing.com/,404,,TriHealing
44,Walia Ethiopian Cuisine,http://waliaethiopian.com/,301,,Walia_Ethiopian_Cuisine
45,WESTCA,https://www.westcasj.com/,200,,WESTCA
46,Zeni Ethiopian,https://zeniethiopianrestaurant.com/,69,200 but connection not private,Zeni_Ethiopian
47,Bangou Productions,https://www.facebook.com/bangouproductions/,200,,Bangou_Productions
48,Moveable Co,https://www.mvbl.co/,406,406 - doesn't support protocol?,Moveable_Co
49,Aki-ta Sushi,https://www.akitagourmet.com,200,,Aki-ta_Sushi
50,Baba Kabob,NONE,-2,,Baba_Kabob
51,BBQ Kalbi,https://sites.google.com/site/bbqkalbitaco/,200,,BBQ_Kalbi
