,Name,WebsiteNew,StatusCodeNew,Notes
0,Adaora Beauty Supply,https://www.adaorabeautysj.com/,301,SSL from wrong domain and "our site is coming soon" is shown
1,Ancient Stones Mineral Makeup,http://www.ancientstonesmineralmakeup.com/,200,
2,Ashay by the Bay,https:/www.ashaybythebay.com/,-1,
3,BackAYard,https://backayard.net/,200,
4,Bay Area Black Owned Restaurants,https://docs.google.com/spreadsheets/u/3/d/1mTthE5lwqVnTCIm3iQtQXLyxwK-pc17cuCp--BhAYX8/htmlview?pru=AAABcpDu9VU*2nVfXDPBpsYfG6C9-r2D0Q,200,
5,Black & Brown,https://shopblackandbrown.com/,200,
6,Braid it Up,NONE,-2,
7,Coconuts Caribbean Restaurant & Bar,https://www.coconutspaloalto.com/,200,
8,Crown Plumbing,https://www.crownplumbingsanjose.com/,200,
9,Dee Lee Cakes,https://www.deeleecakes.com/,200,
10,El Camino Mongolian BBQ,NONE,-2,
11,Exceed Martial Arts,https://www.exceedmartialarts.com/,200,
12,Familia Foods Market,https://familia-foods-market.business.site/,200,
13,Fenn Coffee,https://fenncoffee.com/,200,
14,Giants Barbershop,NONE,-2,
15,Gojo Ethiopian,https://www.gojoethiopianrestaurant.com/,200,
16,Hairport Boutique,hairportboutique.com,-1,
17,Hill's Training,https://www.facebook.com/Hillstraining1/,200,
18,Inhale Exhale Bodywork,NONE,-2,
19,Jackie's Place,https://www.jackiesplacesj.com/,200,
20,Jon Jon's BBQ,https://www.facebook.com/JonJonsBBQ,200,
21,Jonathan's Fish & Chips,NONE,-2,
22,Jubba Somali,https://www.yelp.com/biz/jubba-restaurant-san-jose,200,
23,Kategna Ethiopian,https://www.kategna.com/,200,
24,Kia Fay The Curl Consultant,https://www.thecurlconsultant.com,200,
25,Leyou Ethiopian,https://www.leyouethiopian.com/,200,
26,Lunch Box,https://www.yelp.com/biz/lunch-box-san-jose-2,200,
27,M&M Building Maintenance,https://www.yelp.com/biz/m-and-m-building-maintenance-sunnyvale-2,200,
28,Mudai Restaurant,https://www.yelp.com/biz/mudai-ethiopian-restaurant-san-jose,200,need to reach out to see if there's a new webiste
29,MUCHJOY Bakehouse,https://www.muchjoybakehouse.com/,200,
30,Needle to the Groove,https://www.facebook.com/needletothegroovesanjose,200,
31,Neu2U Thrift Boutique,https://www.facebook.com/Neu2uThriftBoutique,200,
32,Nirvana Soul,https://www.nirvanasoulcoffee.com/,200,
33,Omnipotent Studios Yoga,http://www.omnipotentstudios.com/,-1,need to reach out to see if there's a new webiste
34,Plantlush,https://www.plantlush.com/,200,
35,Raoof's Bean Pies,https://raoofsbeanpie.co/,200,
36,ReggaePot Jamaican Restaurant ,https://reggaepot.com/,200,server busy?
37,Sandi?s Catering,https://sandiscatering.com/,200,
38,"Selam 
Ethiopian",https://www.yelp.com/biz/selam-restaurant-and-cafe-san-jose,200,
39,Tank Shit!,https://www.tankshit.com/,200,
40,The Barbers Inc,NONE,-2,
41,The Dance of Peace,http://www.thedanceofpeace.org/,200,
42,Top Shelf Barbers,NONE,-2,
43,TriHealing,https://trihealing.com/,404,
44,Walia Ethiopian Cuisine,http://waliaethiopian.com/,301,
45,WESTCA,https://www.westcasj.com/,200,
46,Zeni Ethiopian,https://zeniethiopianrestaurant.com/,69,200 but connection not private
47,Bangou Productions,https://www.facebook.com/bangouproductions/,200,
48,Moveable Co,https://www.mvbl.co/,406,406 - doesn't support protocol?
49,Aki-ta Sushi,https://www.akitagourmet.com,200,
50,Baba Kabob,NONE,-2,
51,BBQ Kalbi,https://sites.google.com/site/bbqkalbitaco/,200,
52,Beyond the Border,NONE,-2,
53,Chickn Bros,https://chicknbros.com/,404,shouldn't be a 404 - works on chrome
54,Chula Puebla,NONE,-2,
55,Crepe Em Coming,http://crepeemcoming.com,200,
56,Fairycakes,NONE,-2,need to reach out to see if there's a new webiste
57,Fire and Rice,https://www.fireandricesj.com,200,
58,Fresh Catch Poke,https://www.freshcatchpoke.com/,200,
59,I Love Cheesesteaks,NONE,-2,need to reach out to see if there's a new webiste
60,Judie?s Tacos Locos,http://www.judiestacoslocos.com,200,
61,Lemongrass Lane,NONE,-2,
62,Los Cu?os,NONE,-2,
63,Los Jarochos Grill,http://www.losjarochosgrill.com,404,chrome says not secure
64,Mister Softee,https://mistersofteenorcal.com/,200,
65,Poke Braddahs,NONE,-2,
66,Rice Bucket,NONE,-2,
67,Road Dogs,NONE,-2,
68,Rolling Duck,NONE,-2,
69,Saigon Street Food,NONE,-2,
70,T-MO Truck,NONE,-2,need to reach out to see if there's a new webiste
71,Takoz Mod Mex,NONE,-2,need to reach out to see if there's a new webiste
72,Thai Thai,http://www.thaithaifoodtruck.com/index.html,200,
73,Tlaxiaco?s Pizza,NONE,-2,
74,Twister Food Truck,https://twisterfoodtruck.square.site/,200,
75,Waffle Amore,https://waffleamore.com/,200,
76,West Poke (Akita #2),https://www.akitagourmet.com,200,
77,Zaida's Kitchen,NONE,-2,
78,Chubby's Hot Chick'n Sandos,https://www.chubbyschickn.com/#/,200,
79,CrispBee Chicken,NONE,-2,
80,Bhangs Sandos,NONE,-2,
81,Bird's Alley,NONE,-2,
82,Chick N' Bros,NONE,-2,
83,Scratch Cookery,https://eat.chat/scratchsj,200,
84,Chikin Drip,NONE,-2,
85,Eco Pro Cleaning,NONE,-2,
86,Pono Hawaiian,NONE,-2,
